English words/sentences,French words/sentences
I am glad to help you.,Je suis contente de vous aider.
I am grateful to them.,Je leur suis reconnaissant.
I am harvesting wheat.,Je suis en train de r??colter du bl??.
I am here on business.,Je suis ici pour affaires.
I am in the classroom.,Je suis en salle de classe.
I am near the station.,Je me trouve pr??s de la gare.
I am no match for him.,Je ne peux pas me comparer ?ˇ lui.
I am no match for him.,Je ne suis pas de taille ?ˇ me mesurer ?ˇ lui.
I am not studying now.,En ce moment je n'??tudie pas.
I am poor at swimming.,Je ne sais pas bien nager.
I am shorter than you.,Je suis plus petit que toi.
I am shorter than you.,Je suis plus petite que vous.
I am shorter than you.,Je suis plus petit que vous.
I am talking with Tom.,Je parle avec Tom.
I am too tired to run.,Je suis trop fatigu?? pour courir.
I am totally confused.,Je suis compl??tement confus.
I am totally confused.,Je suis compl??tement confuse.
I am totally confused.,Je suis compl??tement perdue.
I am writing a letter.,J'??cris une lettre.
I anticipated trouble.,J'avais pr??vu des ennuis.
I anticipated trouble.,J'avais vu venir les ennuis.
I appreciate the help.,Je suis reconnaissant pour votre aide.
I appreciate the help.,Je suis reconnaissant pour leur aide.
I appreciate the help.,Je suis reconnaissant pour son aide.
I assume you're angry.,Je suppose que tu es en col??re.
I assume you're angry.,Je suppose que vous ?¶tes en col??re.
I assumed it was free.,J'ai suppos?? que c'??tait gratuit.
I ate curry yesterday.,J'ai mang?? du curry hier.
I ate with my parents.,J'ai mang?? avec mes parents.
I believe I was wrong.,Je crois que j'avais tort.
I believe in miracles.,Je crois aux miracles.
I believe love exists.,Je crois que l'amour existe.
I bet you know French.,Je parie que tu connais le fran??ais.
I blew the candle out.,Je soufflai la bougie.
I bought Mary a scarf.,J'ai achet?? une ??charpe ?ˇ Mary.
I bought a new camera.,J'ai achet?? une nouvelle cam??ra.
I bought a new camera.,J'ai achet?? un nouvel appareil photo.
I bought it last week.,Je l'ai achet?? la semaine pass??e.
I bought it yesterday.,Je l'ai achet?? hier.
I bought myself a dog.,Je me suis achet?? une chienne.
I bought myself a dog.,Je me suis achet??e un chien.
I bought nine flowers.,J'ai achet?? neuf fleurs.
I bought this for you.,J'ai achet?? ??a pour toi.
I bought this for you.,J'ai achet?? ceci pour vous.
I broke my fingernail.,Je me suis cass?? un ongle.
I broke my leg skiing.,Je me suis cass?? la jambe en skiant.
I call her very often.,Je l'appelle souvent.
I came back home late.,Je suis rentr?? tard chez moi.
I came back home late.,Je rentrai tard chez moi.
I came here yesterday.,Je suis venu ici hier.
I can ask Tom to help.,Je peux demander ?ˇ Tom d'aider.
I can barely hear you.,J'ai du mal ?ˇ t'entendre.
I can barely stand up.,Je peux ?ˇ peine me lever.
I can barely stand up.,Je peux ?ˇ peine me mettre debout.
I can do it by myself!,Je peux le faire moi-m?¶meÉ??!
I can do it by myself.,Je peux le faire tout seul.
I can do it by myself.,Je peux le faire seule.
I can do it by myself.,Je peux le faire moi-m?¶me.
I can do it in a week.,Je peux le faire en une semaine.
I can do this all day.,Je peux le faire toute la journ??e.
I can hardly hear him.,Je peux ?ˇ?ˇpeine l'entendre.
I can hardly hear you.,Je peux ?ˇ peine vous entendre.
I can hardly hear you.,Je peux ?ˇ peine t'entendre.
I can hardly hear you.,J'ai beaucoup de mal ?ˇ t'entendre.
I can hardly hear you.,Je t'entends avec grandes difficult??s.
I can hardly hear you.,Je t'entends ?ˇ peine.
I can hear everything.,J'entends tout.
I can open the window.,Je suis capable d'ouvrir la fen?¶tre.
I can open the window.,Je peux ouvrir la fen?¶tre.
I can play the guitar.,Je sais jouer de la guitare.
I can prove it to you.,Je peux te le prouver.
I can prove it to you.,J'arrive ?ˇ te le prouver.
I can prove it to you.,Je peux vous le prouver.
I can prove it to you.,J'arrive ?ˇ vous le prouver.
I can prove it to you.,Je parviens ?ˇ te le prouver.
I can prove it to you.,Je parviens ?ˇ vous le prouver.
I can smell the ocean.,Je peux flairer l'oc??an.
I can understand that.,Je peux comprendre ??a.
I can walk no farther.,Je ne peux marcher plus loin.
I can write very fast.,Je peux ??crire tr??s rapidement.
I can't believe I won.,Je n'arrive pas ?ˇ croire que j'ai gagn??.
I can't come with you.,Je ne peux pas venir avec toi.
I can't come with you.,Je ne peux venir avec vous.
I can't do it justice.,Je ne peux pas le juger ?ˇ sa juste valeur.
I can't do that again.,Je n'arrive pas ?ˇ le refaire.
I can't do this again.,Je n'arrive pas ?ˇ refaire ??a.
I can't do this alone.,Je n'arrive pas ?ˇ faire ??a tout seul.
I can't do this alone.,Je n'arrive pas ?ˇ faire ??a toute seule.
I can't do this alone.,Je ne peux pas faire ??a tout seul.
I can't do this alone.,Je ne peux pas faire ??a toute seule.
I can't do this alone.,Je n'arrive pas ?ˇ le faire par mes propres moyens.
I can't drink alcohol.,Je ne peux pas boire d'alcool.
I can't eat that food.,Je ne peux pas manger cette nourriture.
I can't feel anything.,Je ne sens rien.
I can't find anything.,Je n'arrive pas ?ˇ trouver quoi que ce soit.
I can't find anything.,Je ne parviens pas ?ˇ trouver quoi que ce soit.
I can't find my purse.,Je n'arrive pas ?ˇ trouver mon sac ?ˇ main.
I can't find my watch.,Je n'arrive pas ?ˇ trouver ma montre.
I can't give you this.,Je ne peux pas vous donner ceci.
I can't give you this.,Je ne peux pas te donner ??a.
I can't hear anything.,Je n'entends rien du tout.
I can't hear you well.,Je n'arrive pas ?ˇ bien vous entendre.
I can't hear you well.,Je n'arrive pas ?ˇ bien t'entendre.
"I can't help you, Tom.","Je ne peux pas t'aider, Tom."
I can't let him alone.,Je ne peux pas le laisser seul.
I can't make promises.,Je ne peux faire de promesses.
I can't open the door.,Je n'arrive pas ?ˇ ouvrir la porte.
I can't open this jar.,Je ne parviens pas ?ˇ ouvrir ce bocal.
I can't say I'm sorry.,Je ne peux pas dire que je sois d??sol??.
I can't say I'm sorry.,Je ne peux pas dire que je sois d??sol??e.
I can't see the movie.,Je ne peux pas voir le film.
I can't see the movie.,Je n'arrive pas ?ˇ voir le film.
I can't see the movie.,Je ne parviens pas ?ˇ voir le film.
I can't stand Mondays.,Je ne supporte pas les lundis.
I can't stand cowards.,Je ne supporte pas les l?õches.
I can't stand fishing.,Je ne supporte pas la p?¶che.
I can't stay for long.,Je ne peux pas rester longtemps.
I can't stop coughing.,Je ne peux pas m'arr?¶ter de tousser.
I can't stop sneezing.,Je n'arrive pas ?ˇ m'arr?¶ter d'??ternuer.
I can't stop watching.,Je n'arrive pas ?ˇ m'arr?¶ter de regarder.
I can't talk about it.,Je ne peux pas en parler.
I can't talk to girls.,Je ne peux pas parler aux filles.
I can't trust anybody.,Je ne peux faire confiance ?ˇ personne.
I can't trust anybody.,Je n'arrive ?ˇ faire confiance ?ˇ personne.
I can't understand it.,Je ne peux le comprendre.
I can't wait any more.,Je ne peux plus attendre.
I can't wait any more.,Je ne peux plus attendre plus longtemps.
I can't wait to leave.,J'ai h?õte de partir.
I can't walk any more.,Je ne peux plus marcher.
I can't work with Tom.,Je ne peux pas travailler avec Tom.
I cannot speak German.,Je ne sais pas parler allemand.
I caught Tom cheating.,J'ai pris Tom en train de tricher.
I caught the last bus.,J'ai attrap?? le dernier bus.
I caught them kissing.,Je les ai surpris en train de s'embrasser.
I chopped a tree down.,J'ai abattu un arbre.
I come here every day.,Je viens ici chaque jour.
I could never do that.,Je ne pourrais jamais faire ??a.
I could never do that.,Je ne pourrais jamais faire cela.
I couldn't lie to you.,Je ne pouvais pas te mentir.
I couldn't lie to you.,Je ne pouvais pas vous mentir.
I couldn't lie to you.,Je ne pourrais pas te mentir.
I couldn't lie to you.,Je ne pourrais te mentir.
I couldn't lie to you.,Je ne pourrais pas vous mentir.
I couldn't lie to you.,Je ne pourrais vous mentir.
I couldn't rent a car.,Je n'ai pas pu louer de voiture.
I cut across the park.,J'ai coup?? ?ˇ travers le parc.
I decided to go there.,J'ai d??cid?? d'y aller.
I demand satisfaction.,J'exige d'?¶tre satisfait.
I demand satisfaction.,J'exige d'?¶tre satisfaite.
I did nothing all day.,Je n'ai rien fait de toute la journ??e.
I did nothing illegal.,Je n'ai rien fait d'ill??gal.
I did something wrong.,J'ai fait quelque chose de travers.
I did that to survive.,J'ai fait ??a pour survivre.
I did the right thing.,J'ai fait ce qu'il fallait faire.
I did the right thing.,J'ai fait ce qu'il fallait.
I did the right thing.,J'ai fait ce qui convenait.
I did this for my son.,J'ai fait ceci pour mon fils.
I did try to warn you.,J'ai bien essay?? de te pr??venir.
I did try to warn you.,J'ai bien essay?? de vous pr??venir.
I did what I was told.,Je fis ce qu'on me dit.
I did what I was told.,J'ai fait ce qu'on m'a dit.
I didn't ask for help.,Je n'ai pas demand?? d'aide.
I didn't ask for this.,Je n'ai pas demand?? ??a.
I didn't ask you that.,Je ne vous ai pas demand?? ??a.
I didn't ask you that.,Je ne t'ai pas demand?? ??a.
I didn't buy the book.,Je n'ai pas achet?? le livre.
I didn't eat anything.,Je n'ai rien mang??.
I didn't fall in love.,Je ne suis pas tomb?? amoureux.
I didn't fall in love.,Je ne suis pas tomb??e amoureuse.
I didn't feel a thing.,Je n'ai rien senti.
I didn't feel a thing.,Je n'ai rien ressenti.
I didn't find a thing.,Je n'ai rien trouv??.
I didn't get the joke.,Je n'ai pas compris la blague.
I didn't kiss anybody.,Je n'ai embrass?? personne.
I didn't move a thing.,Je n'ai rien boug??.
I didn't need to stay.,Je n'avais pas besoin de rester.
I didn't order dinner.,Je n'ai pas command?? le d??ner.
I didn't order dinner.,Je n'ai pas command?? de d??ner.
I didn't say anything.,Je n'ai rien dit.
I didn't see anything.,Je n'ai rien vu.
I didn't see the sign.,Je n'ai pas vu le panneau.
I didn't shoot anyone.,Je n'ai tir?? sur personne.
I didn't shoot anyone.,Je n'ai descendu personne.
I didn't sleep a wink.,Je n'ai pas ferm?? l'è?il.
I didn't study at all.,Je n'ai absolument rien ??tudi??.
I didn't tell anybody.,Je ne l'ai dit ?ˇ personne.
I didn't wait for Tom.,Je n'ai pas attendu Tom.
I didn't want to brag.,Je ne voulais pas me vanter.
I didn't want to know.,Je ne voulais pas savoir.
I disagree completely.,Je suis en total d??saccord.
I disagree completely.,Je suis en d??saccord complet.
I dislike all of them.,Je les d??teste tous.
I dislike all of them.,Je les d??teste toutes.
I dislike being alone.,Je d??teste rester seul.
I dislike being alone.,Je n'aime pas ?¶tre seul.
I dislike being alone.,Je n'aime pas ?¶tre seule.
I do feel pretty good.,Je me sens en effet assez bien.
I do have one request.,J'ai effectivement une requ?¶te.
I do have one request.,J'ai effectivement une demande.
I do not know exactly.,Je ne sais pas exactement.
I do not know exactly.,Je ne sais pas trop.
I do not like science.,Je n'aime pas les sciences.
I do that once a week.,Je fais ??a une fois par semaine.
I do what is required.,Je fais ce qui est requis.
I don't care for wine.,Le vin m'est indiff??rent.
I don't dance anymore.,Je ne danse plus.
I don't drink alcohol.,Je ne bois pas d'alcool.
I don't drink anymore.,Je ne bois plus.
I don't eat any bread.,Je ne mange pas de pain.
I don't eat breakfast.,Je ne prends pas de petit d??jeuner.
I don't enjoy riddles.,Je n'aime pas les devinettes.
I don't even have one.,Je n'en ai m?¶me pas.
I don't even have one.,Je n'en ai m?¶me pas un seul.
I don't even have one.,Je n'en ai m?¶me pas une seule.
I don't even know why.,Je ne sais m?¶me pas pourquoi.
I don't even know why.,J'ignore m?¶me pourquoi.
I don't even know you.,Je ne vous connais m?¶me pas.
I don't even know you.,Je ne te connais m?¶me pas.
I don't even like you.,Je ne vous appr??cie m?¶me pas.
I don't even like you.,Je ne t'appr??cie m?¶me pas.
I don't feel any pain.,Je ne ressens aucune douleur.
I don't feel so great.,Je ne me sens pas si bien.
I don't feel so smart.,Je ne me sens pas si intelligent.
I don't feel so smart.,Je ne me sens pas si intelligente.
I don't feel so smart.,Je ne me sens pas si ??l??gant.
I don't get much mail.,Je ne re??ois pas beaucoup de courrier.
I don't get much mail.,Je re??ois peu de courrier.
I don't get the point.,Je ne saisis pas l'argument.
"I don't hate you, Tom.","Je ne te d??teste pas, Tom."
"I don't hate you, Tom.","Je ne te hais pas, Tom."
I don't have a choice.,Je n'ai pas le choix.
I don't have a curfew.,Je n'ai pas de couvre-feu.
I don't have a family.,Je n'ai pas de famille.
I don't have a guitar.,Je n'ai pas de guitare.
I don't have a pencil.,Je n'ai pas de crayon.
I don't have a sister.,Je n'ai pas de sè?urs.
I don't have a system.,Je n'ai pas de syst??me.
I don't have a tattoo.,Je n'ai pas de tatouage.
I don't have a ticket.,Je n'ai pas de ticket.
I don't have a ticket.,Je n'ai pas de billet.
I don't have a weapon.,Je n'ai pas d'arme.
I don't have a weapon.,Je ne dispose pas d'une arme.
I don't have an alibi.,Je n'ai pas d'alibi.
I don't have any kids.,Je n'ai aucun enfant.
I don't have any pens.,Je n'ai aucun stylo.
I don't have my purse.,Je n'ai pas mon porte-monnaie.
I don't have my purse.,Je n'ai pas mon sac-?ˇ-main.
I don't have the ball.,Je n'ai pas la balle.
I don't have the time.,Je n'en ai pas le temps.
I don't have them yet.,Je ne les ai pas encore.
I don't have them yet.,Je n'en dispose pas encore.
I don't have time now.,Je n'ai pas le temps maintenant.
I don't have time now.,"Je n'ai pas le temps, l?ˇ."
I don't have your wit.,Je n'ai pas votre esprit.
I don't have your wit.,Je n'ai pas ton esprit.
I don't hear anything.,Je n'entends rien du tout.
I don't kiss and tell.,Je ne fais pas de confessions sur l'oreiller.
I don't know anything.,Je ne sais rien.
I don't know his name.,J'ignore son nom.
I don't know how long.,Je ne sais pas pendant combien de temps.
I don't know how long.,J'ignore pendant combien de temps.
I don't know how long.,Je ne sais pas pour combien de temps.
I don't know how long.,J'ignore pour combien de temps.
I don't know that yet.,Je ne le sais pas encore.
I don't know who I am.,Je ne sais pas qui je suis.
I don't know you guys.,Je ne vous connais pas.
I don't like anything.,Je n'aime rien.
I don't like bad boys.,Je n'aime pas un voyou.
I don't like big dogs.,Je n'aime pas les molosses.
I don't like big dogs.,Je n'aime pas les gros chiens.
I don't like children.,Je n'aime pas les enfants.
I don't like drinking.,Je n'aime pas boire.
I don't like her face.,Je n'aime pas son visage.
I don't like homework.,Je n'aime pas les devoirs.
I don't like homework.,Je n'aime pas les devoirs ?ˇ la maison.
I don't like hot tubs.,Je n'aime pas les baquets ?ˇ eau chaude.
I don't like hot tubs.,Je n'aime pas les jacuzzis.
I don't like studying.,Je n'aime pas apprendre.
I don't like studying.,"Moi, jÉ??aime pas ??tudier."
I don't like swimming.,Je n'aime pas nager.
I don't like that guy.,Je n'aime pas ce type.
I don't like that one.,Je n'aime pas celui-l?ˇ.
I don't like the dark.,Je n'aime pas l'obscurit??.
I don't like this hat.,Je n'aime pas ce chapeau.
I don't like this one.,Je n'aime pas celui-ci.
I don't like to clean.,Je n'aime pas nettoyer.
I don't like to drive.,Je n'aime pas conduire.
I don't like to guess.,Je n'aime pas deviner.
I don't like to laugh.,Je n'aime pas rire.
I don't like to paint.,Je n'aime pas peindre.
I don't live with Tom.,Je ne vis pas avec Tom.
I don't live with Tom.,Je n'habite pas avec Tom.
I don't make mistakes.,Je ne commets pas d'erreurs.
I don't mind standing.,??a m'est ??gal de rester debout.
I don't mind the cold.,Le froid ne me d??range pas.
I don't mind the food.,La nourriture ne me d??range pas.
I don't need a doctor.,Je n'ai pas besoin de m??decin.
I don't need a lawyer.,Je n'ai pas besoin d'avocat.
I don't need a new TV.,Je n'ai pas besoin d'une nouvelle t??l??vision.
I don't need a reason.,Je n'ai pas besoin d'une raison.
I don't need advisers.,Je n'ai pas besoin de conseillers.
I don't need any help.,Je n'ai besoin d'aucune aide.
I don't need any rest.,Je n'ai pas besoin de quelconque repos.
I don't need anything.,Je n'ai besoin de rien.
I don't need your job.,Je n'ai pas besoin de votre boulot.
I don't need your job.,Je n'ai pas besoin de ton boulot.
I don't often do this.,Je ne fais pas ??a souvent.
I don't really recall.,Je ne me le rappelle pas vraiment.
I don't see a problem.,Je ne vois pas o?? est le probl??me.
I don't see any blood.,Je ne vois pas de sang.
I don't see the point.,Je n'en vois pas l'objet.
I don't shave my legs.,Je ne me rase pas les jambes.
I don't sleep anymore.,Je ne dors plus.
I don't speak English.,Je ne parle pas l'anglais.
I don't speak English.,Je ne parle pas anglais.
I don't think I snore.,Je ne pense pas ronfler.
I don't think I snore.,Je ne crois pas que je ronfle.
I don't trust anybody.,Je ne me fie ?ˇ personne.
I don't understand it.,Je ne le comprends pas.
I don't want any more.,Je n'en veux pas plus.
I don't want any more.,Je ne veux plus.
I don't want the ring.,Je ne veux pas la bague.
I don't want to dance.,Je ne veux pas danser.
I don't want to drive.,Je ne veux pas conduire.
I don't want to drive.,Je n'ai pas envie de conduire.
I don't want to fight.,Je ne veux pas me battre.
I don't want to share.,Je ne veux pas partager.
I don't want to shoot.,Je ne veux pas tirer.
I don't want to sleep.,Je ne veux pas dormir.
I don't want to study.,Je n'ai pas envie d'??tudier.
I don't want your job.,Je ne veux pas de ton boulot.
I don't want your job.,Je ne veux pas ton boulot.
I don't work tomorrow.,Je ne travaille pas demain.
I doubt if it'll rain.,Je doute qu'il pleuvra.
I doubt if it'll snow.,Je doute qu'il neigera.
I dove into the river.,Je plongeai dans la rivi??re.
I dove into the river.,Je plongeai dans le fleuve.
I drank tea yesterday.,J'ai bu du th?? hier.
I enjoy salsa dancing.,J'aime danser la salsa.
I expected a bit more.,Je m'attendais ?ˇ un peu plus.
I explained it to him.,Je lui ai expliqu??.
I explained it to him.,Je le lui ai expliqu??.
I extended my holiday.,J'ai prolong?? mes vacances.
I feel a bit nauseous.,Je me sens un peu naus??eux.
I feel a bit nauseous.,Je me sens un peu naus??euse.
I feel a little tired.,Je me sens un peu fatigu??e.
I feel a little woozy.,Je me sens un peu dans les vapes.
I feel bad about that.,Je me sens mal ?ˇ ce sujet.
I feel better already.,Je me sens d??j?ˇ mieux.
I feel kind of hungry.,J'ai assez faim.
I feel kind of hungry.,J'ai plus ou moins faim.
I feel like I'm ready.,Je me sens pour ainsi dire pr?¶t.
I feel like I'm ready.,Je me sens pour ainsi dire pr?¶te.
I feel like a new man.,Je me sens comme un homme nouveau.
I feel like going out.,J'ai envie de sortir.
I feel much safer now.,"Je me sens beaucoup plus en s??curit??, maintenant."
I feel much safer now.,"Je me sens bien davantage en s??curit??, maintenant."
I feel much safer now.,"Je me sens bien plus en s??curit??, maintenant."
I feel perfectly fine.,Je me sens parfaitement bien.
I feel so embarrassed.,Je me sens tellement g?¶n?? !
I feel so embarrassed.,Je me sens tellement g?¶n??e !
I feel so much better.,Je me sens tellement mieux.
I feel very confident.,Je me sens tr??s en confiance.
I fell down the steps.,Je suis tomb?? dans les marches.
I fell down the steps.,Je suis tomb??e des marches.
I fell into the water.,Je suis tomb?? dans l'eau.
I fell into the water.,Je suis tomb??e dans l'eau.
I fell off the ladder.,Je suis tomb?? de l'??chelle.
I fell off the ladder.,Je suis tomb??e de l'??chelle.
I felt a drop of rain.,Je sentis une goutte de pluie.
I felt a drop of rain.,J'ai senti une goutte de pluie.
I felt a little dizzy.,Je me sentis un peu prise de vertige.
I felt a little dizzy.,Je me suis sentie un peu prise de vertige.
I felt a little dizzy.,Je me sentis un peu pris de vertige.
I felt a little dizzy.,Je me suis senti un peu pris de vertige.
I felt a little stiff.,Je me suis sentie un peu raide.
I felt a little stiff.,Je me suis senti un peu raide.
I felt a little stiff.,Je me sentis un peu raide.
I felt a little woozy.,J'??tais un peu dans les vapes.
I felt bad afterwards.,Je me suis senti mal apr??s coup.
I felt bad afterwards.,Je me suis sentie mal apr??s coup.
I felt rather puzzled.,J'??tais assez perplexe.
I felt the earthquake.,J'ai ressenti le tremblement de terre.
I find him intriguing.,Je le trouve intrigant.
I find that offensive.,Je trouve ??a offensant.
I find that offensive.,Je trouve ??a inappropri??.
I find that offensive.,Je trouve ??a d??plaisant.
I find you attractive.,Je te trouve attirant.
I find you attractive.,Je te trouve attirante.
I find you attractive.,Je vous trouve attirant.
I find you attractive.,Je vous trouve attirante.
I find you attractive.,Je vous trouve attirants.
I find you attractive.,Je vous trouve attirantes.
I find you intriguing.,Je te trouve intrigante.
I find you intriguing.,Je te trouve intrigant.
I followed the recipe.,J'ai suivi la recette.
I followed the recipe.,Je suivis la recette.
I forgave his mistake.,J'ai pardonn?? son erreur.
I forgot all about it.,J'ai tout oubli?? ?ˇ ce sujet.
I forgot my briefcase.,J'ai oubli?? ma mallette.
I forgot the password.,J'ai oubli?? le mot de passe.
I forgot to tell them.,J'ai oubli?? de leur dire.
I forgot to tell them.,J'ai oubli?? de le leur dire.
I forgot to tell them.,J'ai oubli?? de leur raconter.
I found it disturbing.,J'ai trouv?? ??a troublant.
I found out something.,J'ai d??couvert quelque chose.
I found out something.,Je d??couvris quelque chose.
I found the book easy.,J'ai trouv?? ce livre facile.
I found the book easy.,Je trouvais le livre facile.
I found the box empty.,Je trouvai la bo??te vide.
I found the empty box.,Je trouvai la bo??te vide.
I found the game easy.,J'ai trouv?? le jeu facile.
I gained three pounds.,J'ai pris trois livres.
I gained three pounds.,J'ai pris un kilo trois cents grammes.
I gave Tom a huge hug.,J'ai donn?? ?ˇ Tom un gros c?õlin.
I gave Tom a huge hug.,J'ai fait ?ˇ Tom un gros c?õlin.
I gave her some candy.,Je lui ai donn?? quelques bonbons.
I gave him my address.,Je lui donnai mon adresse.
I gave him my address.,Je lui ai donn?? mon adresse.
I gave him my address.,Je lui ai remis mon adresse.
I gave my half to Tom.,J'ai donn?? ma moiti?? ?ˇ Thomas.
I gave the boy a book.,J'ai donn?? un livre au gar??on.
I get anything I want.,J'obtiens tout ce que je veux.
I get motion sickness.,Je suis malade en d??placement.
I get the picture now.,Je m'en fais d??sormais une id??e.
I get up around seven.,Je me l??ve vers sept heures.
I glanced at my watch.,J'ai jet?? un coup d'è?il ?ˇ ma montre.
I go there every year.,J'y vais tous les ans.
I go to bed about ten.,Je me couche vers 10 heures.
I go to school by bus.,Je vais en cours en bus.
I go to school by bus.,Je vais ?ˇ l'??cole en bus.
I got here last night.,Je suis arriv?? hier soir.
I got here last night.,Je suis arriv??e la nuit derni??re.
I got my ears pierced.,Je me suis fait percer les oreilles.
I got out of the taxi.,Je sortis du taxi.
I got soap in my eyes.,Je me suis pris du savon dans les yeux.
I got up a minute ago.,Je me suis lev?? il y a une minute.
I got what I came for.,J'ai obtenu ce pourquoi je suis venu.
I got what I came for.,J'ai obtenu ce pourquoi je suis venue.
I got what you needed.,J'ai obtenu ce dont vous aviez besoin.
I got what you needed.,J'ai obtenu ce dont tu avais besoin.
I got what you wanted.,J'ai obtenu ce que vous vouliez.
I got what you wanted.,J'ai obtenu ce que tu voulais.
I grew up around here.,J'ai grandi par ici.
I grew up around here.,J'ai grandi dans les environs.
I guess I fell asleep.,Je suppose que je me suis endormi.
I guess I fell asleep.,Je suppose que je me suis endormie.
I guess it's not true.,J'imagine que ce n'est pas vrai.
I guess it's possible.,J'imagine que c'est possible.
I guess the dog bites.,On dirait que le chien mord.
I guess the dog bites.,Je crois que le chien mord.
I guess we were happy.,Je suppose que nous ??tions heureux.
I guess we were happy.,Je suppose que nous ??tions heureuses.
I had a bad day today.,"J'ai eu une mauvaise journ??e, aujourd'hui."
I had a great teacher.,J'avais un excellent professeur.
I had a narrow escape.,Je l'ai ??chapp?? belle.
I had a race with him.,J'ai concouru avec lui.
I had a strange dream.,J'ai fait un dr??le de r?¶ve.
I had my ears checked.,J'ai fait contr??ler mon audition.
I had my eyes checked.,J'ai fait contr??ler ma vision.
I had my money stolen.,On m'a vol?? mon argent.
I had my room cleaned.,J'ai fait nettoyer ma chambre.
I had my shoes shined.,J'ai fait cirer mes chaussures.
I had my watch stolen.,Ma montre a ??t?? vol??e.
I had no other choice.,Je n'avais pas d'autre choix.
I had nothing to hide.,Je n'avais rien ?ˇ cacher.
I had second thoughts.,J'ai reconsid??r?? la question.
I had to do something.,Il me fallait faire quelque chose.
I had to do something.,Il fallait que je fasse quelque chose.
I had to go back home.,Il m'a fallu retourner chez moi.
I had to go back home.,J'ai d?Ø retourner chez moi.
I had to leave my job.,J'ai d?Ø quitter mon boulot.
I handed a map to him.,Je lui tendis une carte.
I hate guys like that.,Je d??teste les gars comme ??a.
I hate the way I look.,Je d??teste l'air que j'ai.
I hate this apartment.,Je d??teste cet appartement.
I hated history class.,Je d??testais les cours d'histoire.
I hated history class.,J'ai d??test?? les cours d'histoire.
I have a Japanese car.,J'ai une voiture japonaise.
I have a broken wrist.,Je me suis cass?? le poignet.
I have a favor to ask.,J'ai une faveur ?ˇ requ??rir.
I have a gift for you.,J'ai un cadeau pour toi.
I have a little fever.,J'ai un petit peu de fi??vre.
I have a little fever.,J'ai un peu de fi??vre.
I have a little money.,J'ai un peu d'argent.
I have a lot of books.,J'ai beaucoup de livres.
I have a lot of ideas.,J'ai beaucoup d'id??es.
I have a lot of money.,Je dispose de beaucoup d'argent.
I have a lot to learn.,J'ai beaucoup ?ˇ apprendre.
I have a slight fever.,J'ai un petit peu de fi??vre.
I have a student visa.,J'ai un visa ??tudiant.
I have a tourist visa.,J'ai un visa de tourisme.
I have an appointment.,J'ai un rendez-vous.
I have another sister.,J'ai une autre sè?ur.
I have errands to run.,J'ai des courses ?ˇ faire.
I have errands to run.,J'ai des commissions ?ˇ faire.
I have homework to do.,J'ai des devoirs ?ˇ faire.
I have just come here.,Je viens juste d'arriver ici.
I have kidney trouble.,J'ai des probl??mes r??naux.
I have life insurance.,J'ai une assurance-vie.
I have lost my camera.,J'ai perdu mon appareil photo.
I have lost my pencil.,J'ai perdu mon crayon.
I have met her before.,Je l'ai d??j?ˇ rencontr??e.
I have my own bedroom.,J'ai ma propre chambre.
I have my own reasons.,J'ai mes propres raisons.
I have no backup plan.,Je n'ai pas de plan de rechange.
I have no comment yet.,Je n'ai pas encore de commentaire.
I have no explanation.,Je n'ai pas d'explication.
I have no money on me.,Je nÉ??ai pas de monnaie sur moi.
I have no real choice.,Je ne dispose pas d'un v??ritable choix.
I have no self-esteem.,Je n'ai pas d'amour-propre.
I have nothing to add.,Je n'ai rien ?ˇ ajouter.
I have nothing to say.,Je n'ai rien ?ˇ?ˇdire.
I have nothing to say.,Je n'ai rien ?ˇ dire.
I have pain in my arm.,J'ai une douleur au bras.
I have plenty of time.,J'ai tout mon temps devant moi.
I have serious doubts.,J'ai de s??rieux doutes.
I have so much to say.,J'ai tant ?ˇ dire.
I have some good news.,J'ai de bonnes nouvelles.
I have terrible pains.,J'ai d'affreuses douleurs.
I have the dictionary.,J'ai le dictionnaire.
I have the master key.,J'ai le passe-partout.
I have three brothers.,J'ai trois fr??res.
I have three children.,J'ai trois enfants.
I have to be punished.,Je dois ?¶tre puni.
I have to be punished.,Je dois ?¶tre punie.
I have to do it again.,Je dois le refaire.
I have to do it again.,Il faut que je le refasse.
I have to do that now.,Je dois faire ??a maintenant.
I have to feed my cat.,Je dois nourrir mon chat.
I have to go home now.,Je dois rentrer chez moi maintenant.
I have to go shopping.,Je dois aller faire les courses.
I have to go to sleep.,Je dois aller dormir.
I have to go to sleep.,Il faut que j'aille dormir.
I have to go upstairs.,Je dois monter.
I have to go upstairs.,Je dois monter ?ˇ l'??tage.
I have to keep trying.,Je dois continuer d'essayer.
I haven't heard of it.,Je n'en ai pas entendu parler.
I haven't told anyone.,Je ne l'ai dit ?ˇ personne.
I hear some screaming.,J'entends crier.
I hear some screaming.,J'entends des cris.
I hear some screaming.,J'entends quelqu'un qui crie.
I hear some screaming.,J'entends quelqu'un qui pousse des cris.
I hear someone coming.,J'entends quelqu'un venir.
I hear someone coming.,J'entends quelqu'un qui vient.
I heard a funny noise.,J'ai entendu un dr??le de bruit.
I heard a man's voice.,J'ai entendu une voix d'homme.
I heard my phone ring.,J'ai entendu mon t??l??phone sonner.
I heard the door open.,J'ai entendu la porte s'ouvrir.
